"","SAI","Policy_num","Prime","Competitor","Program","mstr_agt_cd","pri_agt_cd","sub_agt_cd","insured_zip_cd"
"5611","8941T3214","3K270567","KIGER INSURANCE AGENCY","Hartford","OFC PAC INS AGENTS","HU396","CWK73","CWK73","26101"
"5614","8963T0214","3K270856","FORD\GEORGE B\AGCY INC","Other","BLDG PAC GAS STATIONS - LESSOR","G0364","G0364","G0364","48240"
"5617","8967T9214","3K270961","HYLANT GROUP INC","Liberty","BLDG PAC OFC PRIMARY","43329","DHL20","DHL20","48009"
"5618","9039T3214","3K272260","SUFFOLK INSURANCE CORP","Other","RESTAURANT ALL OTHER - FAMILY","CFD78","HG203","HG203","23434"
"5619","9047T3214","3K272296","DEMETRIOU GENERAL AGENCY","Other","BUS PAC DRYCLEANERS  PLANT ON","TV583","TV583","TV583","11420"
"5620","4490T8214","3K273059","HOLMES MURPHY ASSOC LLC","Hartford","RESTAURANT PIZZA-FAST FOOD","A4782","XV027","XV027","50309"
"5621","9100T3214","3K27335A","STROUD NATIONAL AGENCY","Hartford","RESTAURANT ORIENTAL-FAMILY STY","XK770","DKZ38","DKZ38","76273"
"5622","9133t4214","3K27378A","GERELLI INS AGENCY INC","Merchants","CON PAC ELEC-WIRING WITHIN BLD","G3827","G3827","G3827","10950"
"5623","9199T6214","3K274277","GFH INSURANCE AGENCY INC","Liberty Mutual","BLDG PAC MFG PROCESSING","EJ330","CZX18","CZX18","23059"
"5625","9172T6214","3K274437","LAKECOUNTRY INS AGENCY","Other","BLDG PAC MERCANTILE OTHER","CHP31","CHZ30","CHZ30","78746"
"5626","9224T8214","3K274683","CUSTOM INSURANCE AGENCY","EMC","STORE PAC FLORISTS SHOPS INC.","CPN42","CPN42","CPN42","48092"
"5627","9301T4214","3K275759","TWFG INSURANCE SERVS INC","Other","CON PAC PAINT- INTERIOR & PAPE","CCW16","CPS22","CPS22","20011"
"5628","9335TA214","3K276129","MED-CHI INS AGENCY INC","Hartford","OFC PAC PHYS AND SURG & OSTEOP","GV175","PJ955","PJ955","21811"
"5629","9356T2214","3K27650A","RANIERI\D C\INS AGCY","Erie","BLDG PAC GAS STATIONS - LESSOR","FR000","XY004","XY004","10604"
"5630","9484T9214","3K278067","AMSURE","Hanover","BLDG PAC OFC PRIMARY","77157","WB080","WB080","12866"
"5631","9549T3214","3K279015","TOMMY GEORGE INSURANCE","Other","BLDG PAC OFC PRIMARY","RV321","RV321","RV321","79109"
"5632","9565T3214","3K279304","ACTION FINANCIAL SERV","Auto Owners","BUS PAC TV, STERO & VCR REPAIR","CVH47","CVH47","CVH47","84058"
"5633","9568T7214","3K279469","GIA RISK MANAGEMENT LLC","Liberty Mutual","STORE PAC LIQUOR STORES","CTG41","CTG41","CTG41","80125"
"5634","9577T1214","3K279562","MCNEAL AGENCY","Hartford","OFC PAC LAWYERS","EY308","HW110","HW110","31088"
"5635","6322R5214","3K280223","HHM INSURORS","Hartford","CONSULTANTS - MANAGEMENT","HE604","HE604","HE604","17331"
"5636","5184T9214","3K280813","MENICUCCI INS AGENCY LLC","Other","BLDG PAC GAS STATIONS - LESSOR","CLP85","CLP85","CLP85","87110"
"5637","9632T0214","3K280874","MAIN STREET INS LLC","Other","RESTAURANT ALL OTHER - FAST FO","XM208","XM208","XM208","25701"
"5638","9734T8214","3K282081","MENICUCCI INS AGENCY LLC","Other","BLDG PAC OFC PRIMARY","CLP85","CLP85","CLP85","87110"
"5639","9780T5214","3K282880","ION INSURANCE CORP","Hartford","OFC PAC LAWYERS","VY581","HG578","HG578","6410"
"5640","9024T1214","3K283711","INTERMOUNTAIN INS ASSOCS","Liberty","CON PAC HEATING-COMBINE HVAC","WY380","CHY22","CHY22","84043"
"5642","9833T1214","3K283803","MENICUCCI INS AGENCY LLC","Other","OFC PAC ACTG BKNG FIRMS","CLP85","CLP85","CLP85","87110"
"5644","9937T8214","3K28549A","NEUBERGER INS SERVICES","Other","APART PAC BLDG 1-4 UNITS","JY256","DGZ02","DGZ02","11210"
"5645","9958T0214","3K285704","BNC INSURANCE AGCY INC","Harleysville","BLDG PAC OFC PRIMARY","VC504","XW513","XW513","10533"
"5646","9957T6214","3K28573A","MAIN STREET INS AGENCY","Other","GARAGE PAC GENERAL REPAIRS WIT","F7596","F7596","F7596","84770"
"5648","9986T9214","3K286196","THE MILLWARD AGENCY INC","Guard Insurance (Berkshire Hathaway)","APART PAC BLDG 13-24 UNITS","CPX12","CPX12","CPX12","84115"
"5649","9986T9214","3K286196","THE MILLWARD AGENCY INC","Allied","APART PAC BLDG 13-24 UNITS","CPX12","CPX12","CPX12","84115"
"5651","9989t2214","3K286203","ADVANCED AMERICAN FIN","Liberty","CON PAC LANDSCAPE GARDENING","NY879","SV486","SV486","6488"
"5652","1044V1214","3K287445","WALLS\G F\INS AGENCY","Hartford","BUS PAC BEAUTY SHOPS","EJ330","JV992","JV992","23314"
"5653","1100V5214","3K287887","BURTON & COMPANY","Auto Owners","GARAGE PAC GENERAL REPAIRS WIT","CJV47","58940","58940","24073"
"5654","1143V5214","3K288454","TOTEM AGENCIES INC","Other","GARAGE PAC GENERAL REPAIRS WIT","F5046","F5046","F5046","98005"
"5655","1265V0214","3K290148","INSURANCE BROKERS INC","Other","RESTAURANT ALL OTHER - FAMILY","CPF40","CPF40","CPF40","46250"
"5656","1310V0214","3K290646","LEWIS INS ASSOCIATES","Erie Ins.","BLDG PAC OFC PRIMARY","EJ330","CBN01","CBN01","22079"
"5657","1329V0214","3K291089","CLARK BAFFONE AND MATTHE","Other","BLDG PAC MFG PROCESSING","CMS07","CMS07","CMS07","19807"
"5658","1850M8160","3K291711","DIBUDUO & DEFENDIS INS","Other","APART PAC BLDG 13-24 UNITS","21761","PH300","PH300","95367"
"5659","1403V3214","3K292209","PRESTON INS AGENCY INC","Other","STORE PAC FURN APPL ACC FURN S","DCS84","DCS84","DCS84","62523"
"5660","1535V8214","3K294541","ARONOV INSURANCE INC","Other","BLDG PAC OFC PRIMARY","TH137","HE420","HE420","36124"
"5661","5138C5197","3K29525A","TOWNE-W T CHAPIN","Other","BLDG PAC OFC PRIMARY","HG158","HG047","HG047","23168"
"5662","1602V5214","3K295469","DIXIE LEAVITT AGENCY","Other","BUS PAC BEAUTY SHOPS","BTY92","BTY92","BTY92","84720"
"5663","1613V9214","3K295586","TOWNE INS AGENCY LLC","Selective","RESTAURANT SEAFOOD-FAMILY STYL","HG158","XW892","XW892","23430"
"5664","1619V6214","3K295758","CO-WEST INSURANCE GROUP","Other","BLDG PAC MERCANTILE SHOP CENTE","61343","PG910","PG910","80111"
"5665","1680V9214","3K296085","ARONOV INSURANCE INC","Other","STORE PAC BEAUTY & BARBER SUPP","TH137","HE420","HE420","36117"
"5666","1772V7214","3K297217","BOYLE INSURANCE AGCY INC","Other","BLDG PAC MERCANTILE SHOP CENTE","HG557","HG557","HG557","38017"
"5667","1805V5214","3K297647","LANGLEY WALKER INSURANCE","Other","APART PAC BLDG 13-24 UNITS","EJ854","DJT35","DJT35","12901"
"5668","1814VA214","3K298042","CCIG","Other","BLDG PAC OFC PRIMARY","VG178","VG178","VG178","80550"
"5669","1796V3214","3K298299","STROUD NATIONAL AGENCY","Hartford","BUS PAC DRY CLEANERS - NO PLAN","XK770","DKZ38","DKZ38","79356"
"5670","1821V5214","3K298392","CREEK INSURANCE LLC","Liberty","BLDG PAC MERCANTILE OTHER","WM400","DGS31","DGS31","98596"
"5671","3317N4214","3K299223","COMMERCIAL INS SERVICES","Cincinnati","RESTAURANT PIZZA-FAMILY STYLE","XL762","XL762","XL762","26426"
"5674","1983v7214","3K300576","KPD INSURANCE INC","State Farm","BLDG PAC MERCANTILE OTHER","HE719","HE719","HE719","97229"
"5675","2025V4214","3K300816","ADVANTAGE INS PLLC","Hartford","BUS PAC NAIL SALONS","DBB38","X4324","X4324","85024"
"5676","2038V7214","3K30112A","INSURE RIGHT INS AGCY","Liberty","CON PAC LANDSCAPE GARDENING","WY380","CGL58","CGL58","85203"
"5677","4370M0214","3K301284","JEWELL & ASSOCIATES INS","Auto Owners","RESTAURANT OTHER ETHIC CUISINE","WM061","X4276","X4276","80015"
"5678","2061V2214","3K30139A","SAHOURI INSURANCE AGENCY","CNA","JEWELRY FINE","WJ312","WJ312","WJ312","22304"
"5679","2073V0214","3K301536","BULLDOG INSURANCE INC","Guard Insurance (Berkshire Hathaway)","BLDG PAC MERCANTILE OTHER","RX841","RX841","RX841","36749"
"5680","2093V9214","3K301849","DAVID ISON INS INC","Other","GARAGE PAC GLASS INSTALLATION","VW248","CBD20","CBD20","78201"
"5681","2122V9214","3K302176","AFFORDABLE INS SOLUTIONS","Hartford","GARAGE PAC TUNE UP AND EMISSIO","DDH42","DDH42","DDH42","84401"
"5682","2173V9214","3K302742","DML INSURANCE SERVICES","Other","CONSULTANTS - ALL OTHER","CCJ01","CCJ01","CCJ01","98077"
"5683","2212V8214","3K303333","JOHNSON GROUP INS CORP","Other","CONDO PAC BLDG 5-12 UNITS","CVX71","CVX71","CVX71","85028"
"5684","2348v0214","3K304563","B&T BUSINESS SERVICES","Other","RESTAURANT ORIENTAL TAKE-OUT","VJ933","CNM11","CNM11","37087"
"5685","2347V6214","3K304631","R P RYAN INSURANCE INC","Hartford","OFC PAC ALL OTHERS","VM436","VM436","VM436","85385"
"5686","2358VA214","3K304735","MCKINNEY & CO","Zurich","RESTAURANT PIZZA-FAST FOOD","HG517","HG517","HG517","60123"
"5687","2384V9214","3K305105","ABP INSURANCE AGENCY","Erie Ins.","STORE PAC GROCERY STORE (UP TO","PC967","PC967","PC967","22032"
"5688","2254V3214","3K305210","OAKLEY INSURANCE GROUP","CNA","CON PAC LANDSCAPE GARDENING","DJH95","DJH95","DJH95","85737"
"5689","2438VA214","3K306071","INSURANCE & INVESTMENT A","Nationwide","GARAGE PAC RUSTPROOFING, UNDER","DGW65","DGW65","DGW65","23230"
"5690","2449V3214","3K306187","HUB INTL INS SERVICES","Hartford","STORE PAC CONVENIENCE STORE W","89075","89075","89075","87031"
"5691","2458V8214","3K306360","HUB INTL INS SERVICES","Central Mutual","BLDG PAC OFC PRIMARY","89075","89075","89075","87174"
"5692","9734R5214","3K311702","P & C INSURANCE","Chubb","RESTAURANT ORIENTAL-FAMILY STY","HG828","HG828","HG828","4101"
"5694","2433KA143","3K313105","INDACO RISK ADVISORS INC","Selective","GARAGE PAC GENERAL REPAIRS WIT","EJ330","BGY15","BGY15","22902"
"5695","2761VA214","3K313812","WALDOR\PETER\& ASSOCS","Firemans Fund","RESTAURANT ITALIAN-FAMILY STYL","CTN30","CSW17","CSW17","7105"
"5696","3803f0214","3K314439","SWIMMER INSURANCE AGENCY","Cincinnati","OFC PAC LAWYERS","XL819","HE679","HE679","28203"
"5697","5563X5213","3K316236","INSURANCE SYSTEMS","Cincinnati","APART PAC BLDG 1-4 UNITS","XL762","HE600","HE600","25701"
"5698","2861V8214","3K316316","URBANSKI INS AGCY INC","Erie","RESTAURANT ITALIAN-FAMILY STYL","54668","54668","54668","14468"
"5703","2885V4214","3K316549","BURNS AGENCY\THE","Other","STORE PAC CLOTHING WOMEN'S","XF014","HF191","HF191","13323"
"5706","2896V8214","3K318217","CLAUSEN AGENCY INC\THE","Other","BLDG PAC APART INCIDENTAL MERC","PA979","PA979","PA979","11385"
"5709","2919V7214","3K318291","FLOWERS INS AGENCY LLC","Other","STORE PAC CLOTHING WOMEN'S","TH137","CHC98","CHC98","36831"
"5710","3034v5214","3K318696","IMA SELECT LLC","Hartford","PET DAY CARE-NO OVERNGT BOARD","CCH79","XW967","XW967","78734"
"5711","3064V2214","3K318868","DUNN\RON\AGENCY LLC","Erie Ins.","BLDG PAC OFC PRIMARY","FR314","CVH92","CVH92","16057"
"5712","3068v0214","3K319005","CASSWOOD INS AGCY LTD","Allstate","APART PAC BLDG 1-4 UNITS","FN713","FN713","FN713","12534"
"5713","3160V2214","3K320391","STERLING GROUP INC","Hartford","BLDG PAC OFC PRIMARY","XH423","XH423","XH423","48088"
"5715","3180V0214","3K320575","BELL-SCOTT INS GROUP","Other","BLDG PAC OFC PRIMARY","DGB76","DGB76","DGB76","75165"
"5716","9582a4209","3K320784","AAI-DARRELL ADOLPH","Auto Owners","CON PAC ELEC-WIRING WITHIN BLD","CDY41","CML55","CML55","80031"
"5717","8807P0214","3K320840","DYER INSURANCE GROUP","Cincinnati","BLDG PAC OFC PRIMARY","HE598","XV773","XV773","26562"
"5718","3199v0214","3K320919","HUB INTERNATION N E LLC","Other","STORE PAC FLORISTS SHOPS INC.","F6007","KJ424","KJ424","1748"
"5720","3269V1214","3K322636","CSE AGENCY","Cincinnati","BUS PAC BEAUTY SHOPS","G3041","G3041","G3041","24361"
"5721","3315V6214","3K322765","VALICENTI INS SVCS INC","Hartford","OFC PAC ADVERTISING & COMMERCI","HJ980","DDT66","DDT66","27707"
"5722","3244v0214","3K32281A","BRIGHTLEAF INS ASSOC INC","Auto Owners","RESTAURANT SUB SANDWICH TAKE-O","G4569","DKL17","DKL17","27614"
"5723","3329V3214","3K323516","INFINIRISK MANAGEMENT","CNA","OFC PAC PHYS AND SURG & OSTEOP","CHG68","DGQ85","DGQ85","60005"
"5725","3418v8214","3K324088","TRAYNER GROUP LTD\THE","Other","APART PAC BLDG 13-24 UNITS","NM588","NM588","NM588","10003"
"5726","3453V1214","3K32468A","TOMPKINS INS AGENCIES","Hanover","BUS PAC BEAUTY SHOPS","F6641","CDL54","CDL54","14514"
"5728","3457VA214","3K324734","SUMMIT INS AGENCY INC","Hartford","BUS PAC TV, STERO & VCR REPAIR","DBX36","DBX36","DBX36","59875"
"5730","3429V1214","3K324783","RHODES RISK ADVISORS","Hartford","FINANCIAL PLANNERS","DGJ53","DGJ53","DGJ53","30309"
"5731","3475V9214","3K325097","INS ASSOCS-STARKVILLE","Hartford","FINANCIAL PLANNERS","HG898","CJK18","CJK18","39759"
"5732","3494V2214","3K325337","OMNI FINANCIAL CORP","HIG","RESTAURANT ALL OTHER - FAST FO","G6278","G6278","G6278","21104"
"5733","3496V1214","3K325571","INS ADVANTAGE GROUP LLC","Other","BUS PAC COIN OPERATED LAUNDRIE","DCD61","DCD61","DCD61","90027"
"5734","3534V6214","3K326033","ANDREWS\R W\INS AGCY INC","Other","CON PAC PLUMBING","EJ330","F0624","F0624","23228"
"5735","3573V8214","3K326715","REGIONS INSURANCE INC","CNA","STORE PAC CONVENIENCE STORE W","F7954","XV987","XV987","31420"
"5736","3600v9214","3K327110","GLOBALVISION INS AGENCY","Other","STORE PAC VARIETY STORE","DCL92","DCL92","DCL92","11229"
"5737","3531V2214","3K327552","GCM INSURANCE AGENCY LLC","Hartford","BUS PAC PRINTERS","VY189","TK278","TK278","39759"
"5739","2210V9214","3K327564","G I A GROUP LLC","Hartford","FINANCIAL PLANNERS","VX806","5812","5812","81601"
"5740","3727R1214","3K327632","DAVID INSURANCE AGENCY","Auto Owners","CONDO PAC BLDG 1-4 UNITS","F7995","F7995","F7995","54202"
"5741","3647V7214","3K327994","DANIELS INS INC-SANTA FE","CNA","PUBLISHR-BOOKS PERIODCLS-OFF","F0691","F1865","F1865","87508"
"5742","3690V0214","3K328364","STARR INSURANCE AGENCY","Other","STORE PAC CONVENIENCE STORE W","CFQ85","CFQ85","CFQ85","78644"
"5743","3746V0214","3K329220","ORI AND ASSOC INS AGENCY","Other","STORE PAC VARIETY STORE","CXQ92","CXQ92","CXQ92","59701"
"5744","3776V8214","3K329404","ATHENS INSURANCE AGENCY","Hartford","RESTAURANT ORIENTAL-FAMILY STY","HG622","VL044","VL044","37303"
"5745","3785v2214","3K329490","AMHERST INSURANCE AGENCY","Other","APART PAC BLDG 1-4 UNITS","CSZ80","CSZ80","CSZ80","2184"
"5746","3789v0214","3K329601","SCAUTUB AGENCY LLC","Other","APART PAC BLDG 5-12 UNITS","RP828","CQV51","CQV51","12306"
"5747","3626V4214","3K32994A","COMMONWEALTH INS GROUP","Hartford","RESTAURANT ALL OTHER - FAST FO","NJ591","XY832","XY832","23669"
"5748","3852VA214","3K330673","DAVID INSURANCE AGENCY","Auto Owners","CONDO PAC BLDG 1-4 UNITS","F7995","F7995","F7995","54211"
"5749","3872V8214","3K330962","PILKEY-HOPPING & EKBERG","Hartford","COMPUTER CONSULTANTS","HE705","HE705","HE705","98070"
"5750","3897V9214","3K331055","DESERT MOUNTAIN AGENCY","Liberty","CON PAC PLUMBING","CBN96","XJ792","XJ792","87021"
"5752","3933V4214","3K33153A","BROWN\JOHN M INS AGENCY","Other","CON PAC HEATING-COMBINE HVAC","CHG68","DKW14","DKW14","60631"
"5753","3943v3214","3K331878","NEW ENGLAND INS GROUP","Other","GARAGE PAC GENERAL REPAIRS WIT","DKP66","DKP66","DKP66","2324"
"5754","3986V3214","3K332304","SIX & GEVING INS INC","Hartford","BLDG PAC MFG PROCESSING","HE771","KK821","KK821","80215"
"5755","3989V7214","3K332482","PROFESSIONAL INS GRP LLC","Liberty Mutual","RESTAURANT ITALIAN-FAMILY STYL","CQJ13","CQJ13","CQJ13","78108"
"5756","3950v9214","3K33313A","BIGGS INSURANCE SERVICES","Hartford","COMPUTER CONSULTANTS","HH887","HH887","HH887","98607"
"5757","4067v2214","3K333792","AAI-ROCKY MOUNTAIN INS","Hartford","RESTAURANT OTHER ETHIC CUISINE","CDY41","CSC72","CSC72","80229"
"5758","4092V7214","3K33401A","ADVANTAGE INS PLLC","Hartford","BUS PAC NAIL SALONS","DBB38","X4324","X4324","85032"
"5759","4103V8214","3K334033","PRITCHETT-MOORE INC","Cincinnati","BLDG PAC OFC PRIMARY","G7063","G7063","G7063","35401"
"5760","4119V4214","3K334217","GREENHALGH INS AGENCY","Hartford","BUS PAC BEAUTY SHOPS","XA151","XA151","XA151","35601"
"5761","4174V6214","3K334900","PACIFIC NORTHWEST INS","Other","BLDG PAC GAS STATIONS - LESSOR","CLT17","CRZ41","CRZ41","98134"
"5762","3445V1214","3K335238","CAA FINANCIAL LLC","Liberty","STORE PAC LIQUOR STORES","VX806","DKG11","DKG11","80214"
"5763","4277V8214","3K336075","CHITTICK ADVISORY GROUP","Westfield","CON PAC CARPENTRY-INTERIOR","CPF40","DKQ03","DKQ03","40205"
"5764","1108D7171","3K337127","HUB INT'L GULF SOUTH","Hartford","OFC PAC PHYS AND SURG & OSTEOP","76749","HG963","HG963","39232"
"5765","4379V5214","3K337705","BALDWIN-COX AGENCY LLC","Hartford","RESTAURANT ALL OTHER - FAST FO","JC655","XV735","XV735","77057"
"5767","4389V4214","3K337717","YEAGER INS & FIN SCVS LL","Erie Ins.","OFC PAC ACTG BKNG FIRMS","DDV70","DDV70","DDV70","25302"
"5768","4372v3214","3K337883","IGO INSURANCE AGENCY INC","Other","GENERAL STORES","CJB67","CJB67","CJB67","28315"
"5769","4331V2214","3K338173","GREGORY & APPEL INC","Harleysville","BLDG PAC MFG PROCESSING","G3776","G3776","G3776","46241"
"5770","4506V4214","3K339169","INSURANCE ASSOCIATES INC","Hanover","STORE PAC MEAT, FISH & POULTRY","HM995","HM995","HM995","19711"
"5771","4533V8214","3K339575","ALABAMA INS EXCHANGE","Cincinnati","GARAGE PAC BODY REPAIR AND COL","TY581","TY581","TY581","35006"
"5772","4564VA214","3K34017A","BULL\DWAYNE\INS AGCY INC","Other","STORE PAC CONVENIENCE STORE W","CGH27","CGH27","CGH27","19703"
"5773","4558V9214","3K340224","HALLAM & ASSOCIATES INS","Allied","RESTAURANT ALL OTHER - FAMILY","DBZ77","CCX52","CCX52","81524"
"5775","4595V1214","3K340691","CORNERSTONE INS SERV LLC","Hartford","OFC PAC ADVERTISING & COMMERCI","CJJ78","CJJ78","CJJ78","30093"
"5776","4619v5214","3K34084A","OAK TREE INS SVCS LLC","CNA","BLDG PAC OFC PRIMARY","DJW64","DJW64","DJW64","6511"
"5777","4659V1214","3K341337","GREENHALGH INS AGENCY","Nationwide","APART PAC BLDG 5-12 UNITS","XA151","XA151","XA151","35223"
"5778","4667V1214","3K34148A","BERGER-BRIGGS RL EST INC","CNA","BUS PAC NAIL SALONS","HE771","G5078","G5078","87114"
"5779","4688V4214","3K341859","SOUTHGROUP INSURANCE","FCCI","BLDG PAC OFC PRIMARY","WY160","XW767","XW767","39441"
"5780","4703V7214","3K341988","INSURANCE BROKERS INC","Nationwide","WEBDESIGN,SRVCS,ASPS,WEB HOST","CPF40","CPF40","CPF40","46240"
"5781","4703V7214","3K341988","INSURANCE BROKERS INC","Nationwide","WEBDESIGN,SRVCS,ASPS,WEB HOST","CPF40","CPF40","CPF40","46240"
"5782","4712V1214","3K342266","DENIS RICKER & BROWN","Other","CONDO PAC BLDG 5-12 UNITS","HF405","VJ456","VJ456","5601"
"5783","4633V6214","3K342402","BULLDOG INSURANCE INC","Hanover","BLDG PAC OFC PRIMARY","RX841","RX841","RX841","72205"
"5784","4748V6214","3K342611","SKIPPER INSURANCE","Hartford","STORE PAC BEVERAGE STORE-SELLI","EL910","WX216","WX216","36545"
"5786","4743V3214","3K342684","PAYNE\W B\CO INC","Other","BLDG PAC MERCANTILE OTHER","69346","69346","69346","13501"
"5789","4772V6214","3K343005","BROWN & BROWN INS-PHX","Liberty","BLDG PAC OFC PRIMARY","G3448","G3448","G3448","89147"
"5790","4779V8214","3K343109","BOUNDS INSURANCE AGENCY","Other","BLDG PAC OFC PRIMARY","HP660","HP660","HP660","75935"
"5791","4801v6214","3K343202","COOL INSURING AGENCY INC","Harleysville","BLDG PAC MERCANTILE OTHER","17599","XW776","XW776","12110"
"5792","7819h4191","3K343724","GALYEAN INSURANCE AGENCY","Other","STORE PAC CURTAIN & DRAPERY ST","CMC82","CMC82","CMC82","75042"
"5794","4914x2193","3K344303","GALYEAN INSURANCE AGENCY","Hartford","STORE PAC BICYCLE STORES","CMC82","CMC82","CMC82","75087"
"5795","4921v2214","3K34471A","AFFORDABLE AMERICAN INS","Hartford","RESTAURANT ORIENTAL-FAMILY STY","CDY41","X3866","X3866","80922"
"5796","4934V5214","3K344874","CRESS INS CONSULTANTS","Union Standard","BLDG PAC OFC PRIMARY","TE207","TE207","TE207","87048"
"5797","7535l1207","3K345047","GALYEAN INSURANCE AGENCY","Liberty","DONUT SHOPS","CMC82","CMC82","CMC82","75482"
"5798","4798V1214","3K345059","SOUND BUSINESS INSURANCE","Other","GARAGE PAC GENERAL REPAIRS WIT","DFH41","DFH41","DFH41","98329"
"5799","5025V3214","3K345999","STERLING INS AGCY INC","Erie Ins.","BUS PAC NAIL SALONS","CGN09","CGN09","CGN09","19055"
"5800","5095V7214","3K347108","LINDA HORIHAN INC","Auto Owners","STORE PAC HOBBY SHOPS INC. MIN","DFW64","CYC15","CYC15","55901"
"5801","5072V5214","3K347680","MAHONEY GROUP-MESA","Other","APART PAC BLDG 5-12 UNITS","F3292","G2554","G2554","40356"
"5802","5162V4214","3K348222","SILVERLEAF INS GRP LLC","Hartford","OFC PAC - INTERIOR DECORATORS","CTL57","CTL57","CTL57","85016"
"5803","5182V2214","3K348399","MG RISK ADVISERS INC","Liberty","STORE PAC FOOD AND DRINKS DELI","DBC90","DBC90","DBC90","1810"
"5804","5282V0214","3K349685","SIA OF THE GREAT LAKES","Auto Owners","APART PAC BLDG 1-4 UNITS","DGZ72","X4292","X4292","53208"
"5805","5291V5214","3K34981A","ADAMS & ASSOCIATES","Other","BLDG PAC MERCANTILE OTHER","TE427","DKM75","DKM75","37083"
"5806","5266v0214","3K350358","HUB INT'L-BILLINGS","Hallmark","CONDO PAC BLDG 1-4 UNITS","G7423","G7423","G7423","59044"
"5807","5336V1214","3K350611","BOYETTE INS AGCY-FENG","Selective","BUS PAC DAY SPA","CNF84","CQF77","CQF77","23235"
"5808","5360V1214","3K350900","A PLUS FINANCIAL SVCS","Hartford","BUS PAC NAIL SALONS","RK215","DBD22","DBD22","60647"
"5809","3995V8214","3K351029","CHRIST\LINDA A\INSURANCE","Hartford","CONSULTANTS - MANAGEMENT","CVM32","X4391","X4391","22181"
"5810","5373V4214","3K351091","USI SOUTHWEST INC","CNA","BLDG PAC MERCANTILE SHOP CENTE","DGD72","PL232","PL232","87199"
"5812","5385v2214","3K351158","ALI HUSSEIN INS AGENCY","Other","GARAGE PAC BODY REPAIR AND COL","DBV52","DBV52","DBV52","77083"
"5813","5380VA214","3K351183","J S WARD & SON INC","Hartford","STORE PAC CONVENIENCE STORE W","YL135","YL135","YL135","88250"
"5814","5451V5214","3K352038","NEUBERGER INS SERVICES","Liberty Mutual","BLDG PAC MERCANTILE OTHER","JY256","DGZ02","DGZ02","21211"
"5815","5465v2214","3K35220A","PARKER-DOUGLAS INS INC","Hartford","RESTAURANT ORIENTAL-FAMILY STY","GA372","GA372","GA372","81650"
"5816","5513V6214","3K352978","PACIFIC HIGHWAY AGENCY","Allied","STORE PAC GROCERY STORE (UP TO","DGB83","DGB83","DGB83","98391"
"5817","5517V4214","3K353023","AXIS INS SERVICES INC","Other","OFC PAC PHYS AND SURG & OSTEOP","CSL78","CSL78","CSL78","60042"
"5818","5013v5214","3K353072","BRIGHTLEAF INS ASSOC INC","Auto Owners","BLDG PAC OFC PRIMARY","G4569","DKL17","DKL17","27712"
"5819","5849v5214","3K361059","SUMMERS THOMPSON LOWRY","Hanover","CONSULTANTS - MANAGEMENT","FL774","VM437","VM437","27606"
"5820","5894V8214","3K362622","DALEY\T P\INS AGCY INC","Liberty Mutual","BLDG PAC MFG PROCESSING","G7940","G7940","G7940","1085"
"5821","5885v3214","3K363434","SOLV RISK SOLUTIONS LLC","Hartford","SYS INTGRTN,RSELL,INSTAL,REPAI","CRC82","DJS82","DJS82","77406"
"5824","5959V2214","3K363956","ANDRADE\J\INS AGCY INC","Other","BLDG PAC MERCANTILE OTHER","1994","1994","1994","2771"
"5826","6050v4214","3K365581","ADKISSON INS AGCY INC","Other","RESTAURANT ALL OTHER - FAMILY","G5316","G5316","G5316","41015"
"5827","6076VA214","3K365790","LEWIS INS ASSOCIATES","Erie Ins.","OFC PAC DENTISTS","EJ330","CBN01","CBN01","22405"
"5828","6068va214","3K36581A","BOYNTON & BOYNTON","Liberty Mutual","STORE PAC FOOD AND DRINKS DELI","DFS11","HY069","HY069","7005"
"5829","6128V1214","3K366786","FLOWERS INS AGENCY LLC","CNA","CON PAC IRRIGATION OR DRAINAGE","TH137","HE689","HE689","36301"
"5830","6168V8214","3K367236","PALUMBO INS ASSOCS LLC","Hartford","OFC PAC INS AGENTS","CVS58","CVS58","CVS58","21401"
"5831","6156VA214","3K367328","R P RYAN INSURANCE INC","Allied","COMMERCIAL CONDOMINIUM - OFFIC","VM436","VM436","VM436","85248"
"5832","6173V4214","3K367482","HOLMAN AND COMPANY","Hartford","STORE PAC FOOD AND DRINKS BAKE","FU622","FU622","FU622","30041"
"5833","6205V8214","3K368036","NOVAK INS AGENCY INC","Westfield","BLDG PAC OFC PRIMARY","CMC14","CMC14","CMC14","44143"
"5834","6271V3214","3K368780","BOGART & BROWNELL OF MD","CNA","FINANCIAL PLANNERS","A1661","A1661","A1661","22102"
"5835","6305V6214","3K369217","MASTERS COVERAGE CORP","Other","APART PAC BLDG 13-24 UNITS","F8818","HH062","PM604","10952"
"5837","6334V9214","3K369715","JACKSON\RICKY D\INS","Other","BLDG PAC MERCANTILE SHOP CENTE","CXG78","CXG78","CXG78","22202"
"5838","6256V8214","3K369727","BRADLEY AGENCY","Erie Ins.","CONSULTANTS - ALL OTHER","CMT54","CMT54","CMT54","19301"
"5840","6342V9214","3K369961","BB&T-SIDNEY O SMITH","Liberty Mutual","BLDG PAC MERCANTILE SHOP CENTE","FU097","10599","10599","30024"
"5841","5960T8214","3K370161","HORTON GROUP INC\THE","Other","BLDG PAC OFC PRIMARY","E4148","E4148","E4148","60527"
